MDRC,Allemagne2000,Allemagne2005,Allemagne2010,Allemagne2015,Autriche2000,Autriche2005,Autriche2010,Autriche2015,Belgique2000,Belgique2005,Belgique2010,Belgique2015,Bulgarie2000,Bulgarie2005,Bulgarie2010,Bulgarie2015,Chypre2000,Chypre2005,Chypre2010,Chypre2015,Croatie2000,Croatie2005,Croatie2010,Croatie2015,Danemark2000,Danemark2005,Danemark2010,Danemark2015,Espagne2000,Espagne2005,Espagne2010,Espagne2015,Estonie2000,Estonie2005,Estonie2010,Estonie2015,Finlande2000,Finlande2005,Finlande2010,Finlande2015,France2000,France2005,France2010,France2015,Gr_ce2000,Gr_ce2005,Gr_ce2010,Gr_ce2015,Hongrie2000,Hongrie2005,Hongrie2010,Hongrie2015,Irlande2000,Irlande2005,Irlande2010,Irlande2015,Italie2000,Italie2005,Italie2010,Italie2015,Lettonie2000,Lettonie2005,Lettonie2010,Lettonie2015,Lituanie2000,Lituanie2005,Lituanie2010,Lituanie2015,Luxembourg2000,Luxembourg2005,Luxembourg2010,Luxembourg2015,Malte2000,Malte2005,Malte2010,Malte2015,Pays_Bas2000,Pays_Bas2005,Pays_Bas2010,Pays_Bas2015,Pologne2000,Pologne2005,Pologne2010,Pologne2015,Portugal2000,Portugal2005,Portugal2010,Portugal2015,R_publique_Tch_que2000,R_publique_Tch_que2005,R_publique_Tch_que2010,R_publique_Tch_que2015,Roumanie2000,Roumanie2005,Roumanie2010,Roumanie2015,Royaume_Uni2000,Royaume_Uni2005,Royaume_Uni2010,Royaume_Uni2015,Slov_nie2000,Slov_nie2005,Slov_nie2010,Slov_nie2015,Slovaquie2000,Slovaquie2005,Slovaquie2010,Slovaquie2015,Su_de2000,Su_de2005,Su_de2010,Su_de2015,Z_Pop_EU28notBEL2000,Z_Pop_EU28notBEL2005,Z_Pop_EU28notBEL2010,Z_Pop_EU28notBEL2015,Z_Pop_EU28tot2000,Z_Pop_EU28tot2005,Z_Pop_EU28tot2010,Z_Pop_EU28tot2015,Z_Pop_etranger2000,Z_Pop_etranger2005,Z_Pop_etranger2010,Z_Pop_etranger2015,Z_Pop_total2000,Z_Pop_total2005,Z_Pop_total2010,Z_Pop_total2015
93,51,59,93,106,10,11,8,13,4932,4638,4607,4404,0,4,3,7,0,0,1,3,0,1,0,7,16,6,14,12,63,60,77,116,0,3,7,4,8,12,17,31,169,218,243,308,34,43,49,62,1,4,9,15,10,13,18,14,125,123,120,131,0,0,4,12,0,4,3,24,8,9,3,2,1,1,2,5,12,24,45,55,16,46,94,144,42,44,69,63,0,11,15,25,3,8,25,58,80,79,89,79,0,0,2,0,0,0,4,9,21,16,27,39,670,799,1041,1344,5602,5437,5648,5748,915,1067,1331,1728,5847,5705,5938,6132
94,180,193,245,261,21,28,28,32,4984,5050,5026,5328,1,7,16,50,1,1,8,6,3,0,0,0,14,16,24,13,78,101,147,206,2,4,13,10,70,81,83,72,265,304,390,458,75,75,118,146,10,16,43,75,29,26,40,39,129,167,225,268,0,2,12,13,0,0,13,28,10,16,15,17,0,0,4,10,68,92,107,108,14,23,79,96,54,67,63,74,3,14,33,37,0,4,40,59,149,162,152,163,0,0,4,17,2,8,17,17,23,28,33,47,1201,1435,1952,2322,6185,6485,6978,7650,1762,2184,2923,3287,6746,7234,7949,8615
95,93,122,95,137,6,6,11,9,3755,3573,3579,3448,0,0,3,23,0,0,2,2,0,0,0,3,9,8,6,7,72,51,57,50,0,0,7,1,23,27,12,13,171,185,178,231,22,22,22,33,1,2,9,14,16,7,17,12,59,48,82,91,1,2,3,3,0,1,1,0,7,7,6,4,0,0,4,4,40,44,46,38,4,11,24,42,24,27,37,41,0,1,8,22,1,0,3,43,58,77,84,82,0,0,0,1,0,0,7,19,16,7,17,20,623,655,741,945,4378,4228,4320,4393,769,793,911,1081,4524,4366,4490,4529
96,221,210,220,236,20,22,34,31,5272,5239,5294,5287,0,4,5,12,1,5,2,2,0,0,0,2,36,24,28,21,144,157,153,180,1,1,1,26,44,30,23,35,313,317,408,446,82,91,95,113,6,7,39,67,39,30,38,27,131,145,149,197,0,0,5,9,0,0,4,18,13,13,14,15,4,3,4,5,111,102,71,76,9,25,49,86,106,68,73,75,2,1,9,21,6,10,27,52,147,172,137,161,0,0,11,4,3,4,6,9,44,38,52,56,1483,1479,1657,1982,6755,6718,6951,7269,1784,1798,2077,2472,7056,7037,7371,7759
97,38,36,42,34,13,11,8,0,959,933,939,952,3,2,0,0,0,0,0,0,0,0,1,1,13,10,7,7,15,21,34,28,4,4,3,1,15,12,9,5,99,91,106,91,26,19,15,11,0,0,5,1,8,8,6,5,29,27,30,36,0,0,0,1,0,0,0,0,8,10,10,7,0,0,0,0,27,22,29,32,1,4,20,18,33,16,17,13,0,2,1,0,1,4,10,11,46,31,34,41,1,0,0,0,0,0,0,3,14,4,4,5,394,334,391,351,1353,1267,1330,1303,492,458,477,479,1451,1391,1416,1431
98,32,54,55,95,11,12,14,6,2963,2915,3128,3174,0,0,3,12,0,0,1,3,1,0,0,2,9,17,12,14,49,44,64,84,0,1,1,0,17,13,7,11,100,163,167,210,16,23,15,40,0,1,19,22,10,21,11,24,81,75,81,106,0,0,7,11,1,0,0,9,15,10,13,12,0,0,0,1,15,22,32,31,1,23,69,59,47,72,93,105,0,0,3,15,7,6,44,49,38,35,55,55,0,1,3,5,0,5,20,37,9,8,16,7,459,606,805,1025,3422,3521,3933,4199,650,888,1278,1649,3613,3803,4406,4823
99,262,298,338,371,31,53,39,55,6913,6677,6418,6223,3,14,35,55,3,4,12,20,1,4,4,7,70,60,50,49,274,288,274,346,0,6,13,19,123,89,78,62,444,543,615,723,130,142,171,181,2,25,66,104,58,46,35,47,315,313,294,352,1,2,8,13,0,1,12,37,35,24,20,21,0,4,11,10,106,100,91,140,27,56,167,197,164,154,153,212,4,11,37,67,13,27,71,128,217,250,193,218,0,3,7,11,0,10,31,44,61,79,82,91,2344,2606,2907,3580,9257,9283,9325,9803,2841,3109,3395,4132,9754,9786,9813,10355
100,139,136,175,202,18,12,20,39,11595,11559,11460,11548,0,15,47,85,0,0,1,4,6,1,0,8,26,33,26,36,217,215,257,350,2,5,10,16,23,32,34,37,471,571,728,893,103,122,133,187,12,9,46,90,33,38,45,34,266,281,268,337,2,3,9,18,0,4,17,17,24,15,20,21,0,0,0,0,51,42,51,60,18,115,339,452,158,208,220,245,3,12,31,58,14,31,118,243,152,166,180,185,0,3,5,9,0,7,27,53,33,29,31,38,1771,2105,2838,3717,13366,13664,14298,15265,2651,2950,3986,5075,14246,14509,15446,16623
101,48,51,42,47,7,3,3,2,5924,5602,5603,5636,1,0,17,18,0,0,0,0,0,1,0,3,14,12,14,9,80,89,80,82,0,0,2,2,16,8,3,2,135,148,178,207,22,12,8,33,0,0,7,6,9,10,6,7,71,77,78,89,0,0,1,0,0,4,3,5,11,7,5,5,0,0,1,1,17,23,17,22,5,13,24,36,32,27,24,42,0,0,11,24,3,1,28,36,39,33,42,31,0,0,0,1,0,2,2,0,3,6,11,18,513,527,607,728,6437,6129,6210,6364,706,752,871,1046,6630,6354,6474,6682
102,71,76,88,100,7,11,8,12,5631,5580,5400,5408,0,4,9,9,1,2,0,0,0,0,1,1,29,32,29,30,62,69,60,94,0,1,5,6,29,17,7,3,222,255,274,278,24,31,47,72,2,5,32,48,6,19,16,29,94,92,84,94,0,2,1,1,1,3,8,8,8,9,7,4,0,0,0,0,20,34,25,38,9,11,54,70,22,25,30,30,0,3,14,17,3,9,18,51,70,64,62,69,0,0,6,7,0,0,0,11,5,23,16,7,685,797,901,1089,6316,6377,6301,6497,916,1017,1196,1449,6547,6597,6596,6857
103,54,60,76,101,5,12,9,10,4873,4791,4850,4725,0,1,2,10,0,0,0,0,1,0,0,4,16,10,16,18,37,42,31,45,0,0,1,2,2,10,17,17,153,208,240,264,23,17,28,26,0,0,11,17,16,20,12,26,96,106,116,123,0,0,2,3,0,0,0,5,8,13,14,14,0,0,0,0,49,38,42,38,10,10,32,29,38,47,54,59,1,2,2,2,3,6,17,27,121,114,103,118,0,3,0,1,0,0,3,3,13,27,21,23,646,746,849,985,5519,5537,5699,5710,890,1001,1037,1201,5763,5792,5887,5926
