sscod;BELGIQUE;ALLEMAGNE;DANEMARK;ESPAGNE;FINLANDE;FRANCE;ROYAUME_UNI;GRECE;IRLANDE;PORTUGAL;SLOVENIE;ROUMANIE;TURQUIE;INDE;JAPON;ISRAEL;CONGO_/REP.DEM/;ALGERIE;MAROC;TUNISIE;TOTAL_AFRIQUE;TOTAL_(AVEC_REFUGIES)
21013A612;89;1;0;23;0;2;0;3;0;67;0;0;0;0;0;0;0;0;13;0;19;233
21013A623;26;;1;3;0;4;0;0;0;5;0;0;0;0;0;0;0;0;3;5;8;50
21014A00-;1983;23;2;52;4;86;22;21;3;23;1;20;140;15;9;0;43;11;168;4;276;3011
21014A01-;646;4;4;24;0;25;1;3;0;9;0;8;45;1;1;0;15;2;52;2;81;952
21014A02-;808;37;4;37;5;97;24;8;9;31;1;50;23;19;1;0;30;11;63;4;134;1519
21014A03-;629;3;0;14;1;40;4;3;1;10;0;2;30;0;0;0;18;6;27;2;66;896
21014A04-;1943;7;6;27;4;85;9;5;0;30;1;8;251;1;2;0;20;11;248;3;315;2924
21014A05-;4305;21;1;68;2;149;20;16;3;46;1;45;443;8;2;2;97;18;374;14;638;6522
21014A10-;1783;3;2;24;0;16;1;3;0;3;0;1;194;4;0;0;21;19;228;5;284;2400
21014A12-;162;3;0;6;0;6;1;0;0;2;0;7;2;1;0;0;13;0;17;0;42;274
21014A13-;;;;;;;;;;;;;;;;;;;;;;1
21014A14-;662;4;0;12;0;20;4;1;0;0;0;17;81;0;0;0;10;4;92;0;129;1009
21014A18-;;;;;;;;;;;;;;;;;;;;;;1
21014A3MJ;305;4;0;6;0;45;0;5;2;3;0;0;2;15;3;0;1;1;5;0;8;437
21014A41-;2637;2;1;28;5;59;16;4;1;8;0;4;297;1;2;1;24;34;285;4;377;3665
21015A00-;4781;14;1;65;1;167;4;69;1;35;0;41;319;4;1;3;33;17;676;4;831;6815
21015A01-;653;5;0;6;1;13;4;2;2;5;2;12;19;0;1;0;2;0;38;0;42;819
21015A021;2193;14;0;34;0;60;5;16;3;6;0;15;223;0;0;0;12;9;264;4;328;3192
21015A03-;3001;4;0;49;0;68;8;33;0;25;0;23;449;0;5;6;30;20;248;5;321;4405
21015A04-;3133;8;1;20;0;39;4;32;0;6;1;17;628;1;1;0;19;14;339;2;427;4613
21015A05-;2673;1;1;33;1;98;16;44;7;19;0;11;450;5;1;0;29;11;242;9;359;4038
21015A101;1138;7;0;18;1;31;2;7;0;13;0;7;32;2;2;0;19;2;90;0;121;1480
21015A111;1877;11;0;47;0;48;2;9;1;23;0;12;32;0;0;0;6;4;155;5;187;2419
21015A12-;1659;13;0;50;2;71;18;11;5;8;1;8;17;0;1;0;18;2;75;2;104;2117
21015A13-;1292;2;2;29;0;53;7;12;1;16;0;19;35;1;0;1;25;4;209;0;264;1869
21015A142;131;;0;3;0;3;0;0;0;0;0;0;12;0;0;0;3;2;7;0;15;180
21015A152;2288;14;0;71;0;57;6;6;1;14;0;19;84;0;1;0;41;11;356;4;462;3250
21015A20-;3506;9;4;42;2;103;16;14;0;37;0;26;137;1;1;0;28;11;226;1;310;4553
21015A21-;1505;;0;16;4;34;2;9;0;24;0;7;43;1;0;0;21;6;153;2;189;1943
21015A22-;2368;4;2;11;4;66;8;11;3;18;0;0;46;0;0;0;24;17;154;0;217;2907
21015A231;893;1;1;10;1;37;4;6;0;18;0;5;28;0;0;0;17;1;64;0;104;1201
21015A24-;1719;9;0;23;0;71;8;16;2;13;0;16;55;1;0;0;22;6;192;0;248;2367
21015A272;83;;0;0;0;4;0;0;2;0;0;0;6;0;0;0;0;0;2;0;2;106
21015A30-;2192;36;4;40;3;155;29;20;7;101;0;20;76;9;2;2;23;6;128;9;200;3335
21015A31-;1625;23;0;32;0;79;9;6;5;53;0;16;25;1;1;0;23;5;69;8;119;2325
21015A32-;1942;39;4;46;4;101;27;12;5;28;0;16;43;2;0;0;21;6;61;1;102;2624
21015A33-;1405;1;3;16;2;73;30;14;3;51;0;4;54;6;1;0;26;4;81;3;139;2062
21015A34-;1069;27;4;15;1;48;10;9;0;14;0;9;35;0;1;1;11;1;36;0;59;1451
21015A35-;1344;21;6;30;3;66;18;13;5;35;0;4;15;2;1;0;9;3;41;1;70;1850
21015A36-;1257;19;4;36;6;72;19;24;4;50;0;3;21;0;1;0;11;4;22;2;56;1726
21015A39-;;;;;;;;;;;;;;;;;;;;;;6
21015A40-;1815;4;5;34;0;43;2;40;0;2;0;52;269;0;0;0;14;7;339;3;489;3084
21015A41-;2006;4;0;40;0;50;9;71;0;14;0;14;167;0;0;0;19;9;383;0;438;3017
21015A421;988;2;0;13;0;33;3;7;1;4;0;8;190;2;1;0;5;6;111;1;188;1558
21015A43-;803;4;1;10;0;27;1;27;0;3;0;22;83;0;0;0;25;8;102;4;182;1242
21015A44-;2018;2;0;25;0;49;1;76;1;36;0;13;309;1;0;0;13;2;237;0;278;2998
21015A45-;1069;2;0;17;0;32;2;25;0;19;0;3;81;0;0;0;16;5;254;1;288;1586
21015A50-;2804;88;14;138;23;285;114;63;36;83;6;11;13;16;4;0;57;5;31;6;145;4447
21015A51-;1052;16;3;50;12;90;29;6;15;32;0;9;1;4;3;0;4;0;5;5;23;1494
21015A52-;1645;52;12;67;20;144;71;25;9;102;3;23;4;2;3;1;10;2;21;1;46;2533
21015A53-;1560;32;6;50;4;89;26;28;8;93;2;25;53;10;2;0;20;1;73;4;125;2508
21015A54-;3157;6;14;95;25;197;64;31;14;87;0;22;23;13;2;0;27;6;85;3;152;4534
21015A612;2435;5;3;38;0;47;6;51;2;9;0;17;252;3;0;0;24;7;287;0;415;3586
21015A622;588;7;0;5;0;21;7;11;0;9;1;0;26;4;0;0;0;0;18;0;19;752
21015A63-;960;5;2;30;3;55;4;16;3;11;0;5;54;0;1;0;4;2;43;3;61;1366
