LOY;LOYm2;Q11;INSSEC;annee_enquete;Q12;etat_2000_dbl_vitr;Q33;deuxieme_salle_bain;nbre_garage;convecteur;abs_regul_thermique;abs_espace_recreatif;abs_eau_chaude;rangement;etat_a_installation_elec;etat_b_installation_gaz;etat_c_evacuation_gaz;etat_d_chauffe_eau;etat_e_plomberie;etat_f_chassis;etat_g_isolation_thermique;etat_h_isolation_sonore;etat_i_chauffage;etat_j_escalier;etat_k_revetements_sol;etat_l_peintures_interieures;etat_m_cuisine;etat_n_sanitaires;etat_o_espaces_communs;REV;Q67a;Q67b;Q67c;Q67d;Q67e;Q14;m2;type_logement;type_logement2
292.3824529933188;5.8476490598663755;50;21013A00-;2017;Appartement2;2;4;0;0;0;0;1;0;1;4;4;4;4;4;4;2;3;3;4;3;3;4;4;4;De 1001 € à 1500 €;0;0;0;0;1;2;50;Appartement2;Appartement2
694.4083258591321;7.715648065101468;90;21007A72-;2017;Appartement2;2;5;0;NA;0;0;1;0;1;3;3;4;4;4;4;4;4;4;4;4;4;4;4;NA;De 1001 € à 1500 €;0;0;0;0;1;2;90;Appartement2;Appartement2
574.3226755225905;14.358066888064764;40;21004B43-;2017;Studio;2;4;0;NA;NA;0;0;0;1;4;4;4;4;4;4;4;4;4;4;4;4;5;4;NA;De 1501 € à 2000 €;0;0;0;1;0;0;40;Studio;Studio_Appartement0
365.4780662416485;18.273903312082425;20;21009A22-;2017;Studio;1;2;0;0;0;0;1;0;0;3;NA;NA;4;3;2;2;2;2;2;2;3;3;2;2;Moins de 500 €;0;0;1;0;0;0;20;Studio;Studio_Appartement0
939.800741764239;9.39800741764239;100;21001A732;2017;Appartement3;2;5;0;0;0;0;1;0;1;5;5;5;5;5;5;2;3;5;5;5;5;5;5;NA;Plus de 3500 €;0;0;0;2;0;3;100;Appartement3;Appartement3
626.533827842826;10.4422304640471;60;21013A40-;2017;Appartement1;1;4;0;0;0;0;0;0;0;4;4;4;3;3;3;2;3;4;4;2;3;3;3;NA;De 1001 € à 1500 €;0;0;0;1;0;1;60;Appartement1;Appartement1
699.6294410911557;17.490736027278892;40;21015A152;2017;Appartement2;2;4;0;0;0;0;0;0;1;5;NA;NA;NA;NA;5;4;4;5;3;5;3;4;4;3;De 1501 € à 2000 €;0;0;0;0;1;2;40;Appartement2;Appartement2
574.3226755225905;8.445921698861625;68;21007A72-;2017;Appartement1;NA;3;0;0;0;0;0;0;0;4;NA;4;4;3;4;3;2;4;3;3;4;4;4;3;Refus de répondre;0;0;0;1;0;1;68;Appartement1;Appartement1
1023.3385854766158;13.644514473021543;75;21009A63-;2017;Maison2;1;4;0;1;0;0;0;0;1;5;5;5;5;5;5;4;5;5;4;NA;4;4;4;4;De 1501 € à 2000 €;0;0;0;2;0;2;75;Maison2;Maison1_2
757.0617086434147;NA;NA;21001A031;2017;Appartement2;2;1;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;De 1501 € à 2000 €;2;2;0;1;0;2;NA;Appartement2;Appartement2
511.6692927383079;11.370428727517954;45;21013A00-;2017;Appartement1;2;1;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;De 1501 € à 2000 €;0;0;0;1;0;1;45;Appartement1;Appartement1
553.4382145944962;6.917977682431203;80;21015A44-;2017;Appartement2;1;2;0;0;0;0;0;0;1;3;3;3;3;NA;3;2;1;3;1;1;4;3;3;3;Refus de répondre;2;0;1;2;0;2;80;Appartement2;Appartement2
553.4382145944962;12.298626990988804;45;21004C51-;2017;Appartement1;2;4;0;0;0;0;0;0;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;Refus de répondre;0;0;0;1;0;1;45;Appartement1;Appartement1
730.956132483297;10.4422304640471;70;21015A52-;2017;Appartement1;2;2;0;NA;0;0;1;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;Refus de répondre;0;0;0;1;0;1;70;Appartement1;Appartement1
626.533827842826;NA;NA;21001B25-;2017;Appartement1;1;2;NA;NA;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;De 2001 € à 2500 €;3;1;0;1;0;1;NA;Appartement1;Appartement1
626.533827842826;7.3709862099156;85;21009A041;2017;Appartement1;1;3;0;0;0;0;1;0;0;4;5;NA;NA;4;4;2;3;5;3;1;5;3;3;NA;De 500 € à 1000 €;0;0;0;1;0;1;85;Appartement1;Appartement1
