id,name,value
21005A02-,CHAMP DU ROI (RUE),21679.09
21005A031,MAELBEEK,19159.33
21005A042,PH. BAUCQ (RUE),19883.2
21005A051,RINSDELLE,23024.38
21005A082,COURS ST-MICHEL,37214.57
21005A10-,GENERAL HENRI (RUE),20144.91
21005A11-,NOTRE-DAME DU SACRE-COEUR,24636.12
21005A12-,SAINT-ANTOINE,18547.63
21005A13-,LA CHASSE,18635.32
21005A14-,ARMEE (AVENUE DE L'),25961.18
21005A15-,SAINT-MICHEL COLLEGE,27107.31
21005A20-,PORTE DE TERVUEREN - TONGRES,23436.78
21005A21-,PORTE DE TERVUEREN - BRAFFORT,24867.29
21005A22-,PORTE DE TERVUEREN - L. DE LAN,23627.62
21005A311,CASERNE (Etterbeek),24647.01
21005A322,NOUVELLE AVENUE-SUD,15766.54
21005A33-,CARDINAL LAVIGERIE (RUE),25633.53
21006A011,CENTRE,22167.81
21004A25-,BEGUINAGE (PLACE DU),22456.86
21015A101,GARE,20209.96
21015A04-,L'OLIVIER (RUE),16504.8
21007A783,PARC DE FOREST,20047.44
21007A814,VILLAS - MONT KEMMEL,21807.24
21008A00-,CENTRE,21883.49
21008A01-,VAN PAGE-SUD,21815.77
21007A61-,MONTENEGRO (RUE),19107.3
21008A02-,SIPPELBERG,20253.25
21008A20-,CHARLES-QUINT,21394.46
21007A75-,TOURNOI (RUE DU),25107.72
21008A21-,MAIL,24781.64
21008A23-,DE MESMAEKER,30193.86
21008A240,REFORME,23127.2
21008A30-,LE HOME,23424.04
21008A31-,TOUSSAINT,23552.77
21008A32-,HEIDEKEN,23114.22
21008A33-,VAN PAGE-NORD,24689.55
21008A10-,PLATEAU,20659.21
21008A220,VILLAS DE GANSHOREN (OUEST),16166.41
21007A73-,BERCKENDAEL (RUE),23440.52
21007A72-,MOLIERE,20538.82
21007A71-,CHAUSSEE D'ALSEMBERG,20623.54
21012A822,KORENBEEK,21671.89
21012A833,ELBERS,17573.45
21012A84-,METTEWIE-BUILDINGS,23535.8
21012A851,CONDOR,23891.17
21012A882,DARING,23585.9
21013A00-,HOTEL DE VILLE,18611.92
21013A01-,ESPAGNE (RUE D'),20737.22
21013A02-,CAPOUILLET (RUE),21073.19
21013A031,AMAZONE (RUE DE),20909.44
21013A04-,PRISON,20834.84
21013A052,FAIDER (RUE),21576.69
21013A101,PARVIS,17311.28
21013A11-,PARME (RUE DE),19133.66
21014A12-,SAINT-LAZARE,15378.32
21010A03-,MIROIR,21889.56
21010A01-,ESSEGHEM,19463.77
21007A70-,ALTITUDE  CENT,23790.38
21007A60-,SAINT-ANTOINE,17454.42
21012A811,MYRTES-NORD,19628
21007A552,REINE MARIE-HENRIETTE,27255.94
21007A04-,FOYER FORESTOIS - MADELON,17114.6
21008A35-,CHARTE,32216.66
21009A00-,CENTRE,19458.78
21009A01-,BLYCKAERTS,17931.18
21009A512,WIERTZ,23280
21009A52-,GRAY (RUE),18685.5
21009A53-,LONDRES (PLACE DE),18055.18
21009A542,EGLISE ANGLICANE,18325.4
21008A34-,PARC ALBERT,37933.33
21009A552,PORTE DE NAMUR,19896.12
21009A612,LIEGEOIS (RUE),20152.78
21009A623,KLAUWAERTS,23701.63
21009A63-,MACAU,22585.74
21009A652,HOPITAUX,17028.92
21009A712,CHATELAIN (PLACE DU)-OUEST,23067.22
21009A72-,DEFACQZ,22684.36
21009A73-,BERCKENDAEL,25823.45
21009A602,BELVEDERE,16417.56
21007A53-,WIELEMANS CEUPPENS,20238.05
21007A52-,VAN VOLXEM - PETITE INDUSTRIE,21426.95
21007A51-,CHATAIGNE,21202.09
21007A05-,NEERSTALLE,22099
21007A06-,KATANGA,20797.63
21007A071,BOLLINCKX,27538.4
21007A082,BEMPT,17742.88
21007A101,BOURGOGNE,18973.38
21007A111,MESSIDOR I,23252.22
21007A12-,HAVESKERCKE,30042.9
21007A132,DENAYER (RUE),24222.83
21007A142,MONTE CARLO,22987.91
21007A201,ROOSENDAEL (RUE),24097.86
21007A21-,MAGNANERIE,24636.16
21007A239,NEPTUNE (AVENUE) I,25164.02
21007A242,GLOBE,23972.58
21007A252,MESSIDOR II,16516.42
21007A40-,PONT DE LUTTRE,16660.49
21007A41-,PONT DE LUTTRE-OUEST,17524.74
21007A50-,BERANGER,20492.61
21007A541,LYCEE,20387.05
21009A802,BOONDAEL-SUD,26405.75
21012A732,CANAL-NORD,19788.94
21012A71-,PIERS,15720.38
21012A03-,RANSFORT,15716.42
21012A02-,BRUNFAUT (QUARTIER),15572.75
21010A05-,ALBERT (QUARTIER),20659.31
21010A10-,ANCIENNE BARRIERE,22924.79
21010A111,HEYMBOSCH,23453.11
21010A121,F. MOHRFELD (RUE DE),28100.29
21010A13-,CITE-JARDIN,23204.2
21012A041,QUATRE VENTS,15745.05
21010A141,BRUGMANN,20845.11
21010A21-,MADELEINE,20944.54
21010A312,BAECK DUPRE,20762.39
21010A393,SACRE-COEUR,28244.95
21010A4MJ,VUB,2212.74
21011A00-,VANHUFFEL,17403.99
21011A01-,SAINTE-ANNE,17872.92
21011A02-,JACQUET (RUE DE),16776.9
21010A1AJ,ARBRE BALLON,30561.36
21012A23-,MACHTENS-SUD,23197.05
21012A511,STEYNS,17999.11
21012A10-,DUCHESSE DE BRABANT,16680.74
21012A41-,MOORTEBEEK,21672.99
21012A39-,DE RAEDT,17143.8
21012A30-,METTEWIE - IDYLLE,22168.81
21012A2MJ,CHEMIN DE FER,24213.84
21012A26-,MACHTENS-NORD,25473.75
21012A25-,BEEKKANT,17462.95
21012A24-,OSSEGHEM,21341.61
21012A22-,BRASILIA,22263.26
21012A05-,SAINT-JOSEPH,15755.4
21012A21-,MARIE-JOSE BLOCS,15730.81
21012A20-,BAECK,20538.49
21012A172,GARE OUEST,16160.3
21012A152,ETANGS NOIRS,15615.42
21012A141,INDEPENDANCE,15918.32
21012A13-,BIRMINGHAM-NORD,16542.06
21012A12-,BIRMINGHAM-SUD,17638.04
21012A11-,INDUSTRIE,15757.45
21011A10-,PAIX (AVENUE DE LA),22470.34
21012A72-,LAVALLEE,15671.65
21011A11-,LEPREUX,23460.86
21011A20-,PLATEAU,21598.23
21014A00-,PLACE SAINT-JOSSE,16746.28
21014A01-,STEURS,17732.21
21014A02-,CHARITE,16798.66
21014A03-,MADOU,19432.21
21014A04-,HAECHT (CHAUSSEE DE),16161.2
21014A05-,HOUWAERT,16147.76
21014A10-,SAINT-FRANCOIS,16161.55
21013A623,FRANCE (RUE DE),24953.39
21013A13-,DETHY (RUE),16694.11
21013A121,GUILLAUME TELL-SUD,15751.93
21013A102,PARVIS,18047.84
21012A60-,LAEKENVELD,17094.98
21012A611,MEXICO,18234.62
21012A62-,LIBERATEURS,17333.66
21012A63-,DUBRUCQ-NORD,17208.42
21012A672,ULENS,17772.98
21010A04-,NOTRE-DAME DE LOURDES,20928.1
21013A612,JAMAR,20082.23
21013A522,RUE D'ECOSSE,19300.56
21013A51-,TOISON D'OR (AVENUE),19923.79
21011A30-,ARCHERS - FOUREZ,18292.04
21012A00-,CENTRE,15345.1
21012A011,CANAL-SUD,18628.45
21012A52-,NEEP (QUARTIER DU),21194.56
21012A53-,SIPPELBERG,15572.75
21012A54-,DELHAIZE,19434.7
21012A552,PFEIFFER,19873.43
21013A151,METAL (RUE DU),18136.57
21013A201,ANGLETERRE (RUE D'),15597.26
21013A211,FONTAINAS,17173.11
21013A22-,REGIES,15895.04
21013A23-,ROI (AVENUE DU),17606.81
21013A242,BETHLEEM (PLACE DE),16126.98
21013A252,DANEMARK (RUE DE),16866
21013A40-,BARRIERE,16766.21
21013A41-,VILLAS (AVENUE DES),19345.27
21013A422,CRICKX (RUE),16262.44
21011A12-,BASILIQUE,25192.73
21009A812,SCHOOLGAT,22946.53
21009A82-,FORET,25338.58
21009A83-,L. ERNOTTE (RUE),15923.6
21017A031,AVENUE DELLEUR,33587.14
21019A12-,ESCRIME (AVENUE DE L'),34148.66
21019A10-,STOCKEL,26008.78
21018A41-,EUROPE,26606.48
21018A42-,VERVLOESEM,29904.75
21018A43-,ROODEBEEK,27609.84
21018A512,QUARTIER DES PEINTRES,29722
21019A131,KONKEL,31645.67
21018A60-,ROODEBEEK PARC,19609.41
21018A62-,HEYDENBERG-OUEST,27643.7
21018A63-,CONSTELLATIONS,21416.38
21018A643,DEUX MAISONS,16866.33
21018A72-,ROGATIONS,23807.32
21018A81-,KAPELLEVELD-SUD,19596.43
21018A82-,MARIE LA MISERABLE,31393.44
21018A83-,KLAKKEDELLE,30895.42
21018A61-,HEYDENBERG-EST,26754.7
21019A45-,HELICE (AVENUE DE L'),28992.09
21019A441,FAISANDERIE,28719.84
21019A43-,CORNICHE VERTE,35754.28
21019A15-,KAPELLEVELD,18311.33
21019A20-,SAINT-PAUL,29854.04
21019A21-,MANOIR,23827.31
21019A22-,PUTDAAL,28908.81
21019A231,KELLE,27493.28
21019A242,VENELLES,26365.68
21019A252,MONTGOLFIER,30043.02
21019A28-,ETANGS MELLAERTS,24102.82
21019A30-,EGLANTINES (AVENUE),28145.96
21019A31-,BEMEL,28290.91
21019A32-,CHANT D'OISEAU,26308.04
21019A33-,MIMOSAS (AVENUE),26625.66
21019A34-,EUROPE (QUARTIER DE L'),32946.14
21019A35-,HORIZON (AVENUE),26073.18
21019A40-,SAINTE-ALIX,29318.7
21019A41-,CITE JOLI-BOIS,27198.7
21019A42-,SALOME AVENUE,30123.08
21018A84-,KAPELLEVELD-NORD-EST,18694.08
21019A14-,VAL DE SEIGNEURS,25351.93
21018A87-,SAINT-LUC,7099.92
21019A01-,BOULEVARD DE LA WOLUWE,23679.3
21015A63-,DESCHANEL P. (AVENUE),24106.27
21015A64-,DUPLOYE SQUARE,19596.43
21015A70-,P. HYMANS (RUE),22517.66
21015A71-,JARDINS,25839.57
21015A721,F. COURTENS (AVENUE),26510.98
21015A73-,H. EVENEPOEL (RUE),25792.99
21015A77-,R.T.B.,15744.27
21015A622,BRUSILIA,24805.81
21015A782,CIMETIERE DE SAINT-JOSSE,18741.22
21015A811,TERDELT,21989.8
21015A35-,JEAN STOBBAERTS (AVENUE),22578.88
21015A33-,BIENFAITEURS (PLACE DE),19361.05
21015A00-,COLIGNON (PLACE),17533.48
21015A01-,VAN YSENDYCK (RUE),22040.06
21015A021,HOUFFALIZE (PLACE),17423.8
21015A03-,JOSAPHAT (RUE),17967.44
